attack_type,country,area,activity,sex,injury,fatal,time,species,age,year,month
Unprovoked,USA,Florida,Surfing,M,Puncture marks in leg & surfboard dinged,N,unknown,1.5 m [5'] shark,16,1983,October
Unprovoked,USA,Florida,Wading,M,Lacerations to left ankle,N,unknown,4.5' shark,20,1983,October
Unprovoked,USA,Florida,Standing,M,Abrasions to leg,N,unknown,unknown,15,1983,September
Unprovoked,USA,Oregon,Surfing,M,"No injury, board bitten",N,10h00,White shark,not declared,1983,August
Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,Inner thighs lacerated,N,10h00,5 m [16.5'] white shark,29,1983,August
Unprovoked,USA,Virginia,Swimming,F,Foot bitten,N,Morning,Sand shark,14,1983,August
Provoked,USA,Florida,Skindiving,M,Hand abraded when he grabbed shark's tail PROVOKED INCIDENT,N,unknown,Nurse shark,14,1983,August
Unprovoked,USA,Florida,Diving,F,Right leg severely bitten,N,Morning,6' to 8' bull shark,22,1983,August
Boat,USA,Rhode Island,Fishing,not declared,No injury to occupants,N,unknown,unknown,not declared,1983,August
Sea Disaster,AUSTRALIA,Queensland,Swimming from the New Venture ,F,"FATAL, shark seized her by the chest and took her underwater ",Y,04h00,"Tiger shark, 5 m [16.5']",21,1983,July
Sea Disaster,AUSTRALIA,Queensland,Swimming from the New Venture ,M,"FATAL, shark bit leg, then dragged him underwater ",Y,Night,"Tiger shark, 5 m [16.5']",24,1983,July
Sea Disaster,AUSTRALIA,Queensland,14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water,M,"Left knee bitten, but survived",N,Night,"Tiger shark, 5 m [16.5']",28,1983,July
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,Left arm injured by shark's tail as it swam beneath his board,N,unknown,3 m to 4 m [10' to 13'] shark,not declared,1983,July
Unprovoked,USA,Florida,Windsurfing,F,Left ankle nipped (3 punctures wounds),N,Afternoon,3.5' hammerhead shark,39,1983,July
Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,Lacerations to left calf,N,12h00,unknown,13,1983,July
Unprovoked,USA,Florida,Floating on air mattress,M,"No injury, shark bit air mattress, deflating it",N,unknown,unknown,17,1983,July
Unprovoked,USA,Florida,Swimming,M,Left foot bitten,N,11h00,unknown,42,1983,June
Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,FATAL,Y,16h00,unknown,15,1983,June
Unprovoked,USA,Florida,Surfing & dangling foot in water amid baitfish,M,Left foot lacerated,N,16h30,unknown,21,1983,June
Unprovoked,BAHAMAS,unknown,unknown,M,Lacerations to hand & foot,N,11h00,6' blacktip shark,30,1983,June
Invalid,ITALY,Northwest Italy,Scuba diving,M,"No injury, 3 m shark ""harassed"" him at depth of 5 m",unknown,unknown,Questionable incident,not declared,1983,June
Unprovoked,BAHAMAS,Berry Islands,Spearfishing,M,Lacerations to thigh & buttocks,N,17h00,Caribbean reef shark,not declared,1983,unknown
Unprovoked,USA,Florida,Water-skiing,M,"Left calf, knee & hands lacerated",N,Dusk,6' shark,21,1983,May
Unprovoked,USA,Florida,Surfing,M,"Knocked off board by shark, no injury",N,unknown,unknown,15,1983,May
Unprovoked,USA,Florida,Surfing,M,Right foot bitten,N,14h00,unknown,22,1983,May
Unprovoked,USA,Florida,Surfing,M,No details,unknown,unknown,unknown,not declared,1983,April
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Fishing,M,Puncture wounds to foot,N,19h30,"Raggedtooth shark, 1.5 m [5'] (tooth fragment recovered)",27,1983,April
Unprovoked,USA,Florida,Surfing,M,Left foot bitten,N,11h00,unknown,16,1983,April
Invalid,SOUTH AFRICA,KwaZulu-Natal,unknown,M,Survived,unknown,unknown,Questionable incident,not declared,1983,April
Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,Right calf lacerated,N,11h15,1.8 m [6'] Zambezi shark,17,1983,March
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,"No injury, board bitten",N,12h30,Blacktip or spinner shark,not declared,1983,March
Unprovoked,USA,Florida,Surfing,M,"Shark nudged board, no injury",N,unknown,unknown,not declared,1983,March
Unprovoked,NEW CALEDONIA,Loyalty Islands,unknown,not declared,Calf bitten,N,unknown,"""a small shark""",not declared,1983,unknown
Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Paddleskiing,M,Puncture wounds to buttocks,N,12h30,3 m [10'] shark,16,1983,February
Provoked,USA,South Carolina,Fishing,M,Leg bitten by captive shark PROVOKED INCIDENT,N,unknown,unknown,43,1983,January
Invalid,SOUTH AFRICA,KwaZulu-Natal,unknown,M,FATAL,unknown,unknown,Shark involvement prior to death was not confirmed,not declared,1983,January
Unprovoked,SOUTH AFRICA,Western Cape Province,Windsurfing,M,Left foot lacerated,N,18h15,unknown,22,1983,January
Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,"No injury, rammed by shark",N,13h00,White shark,32,1983,January
Unprovoked,unknown,English Channel,Swimming,M,Left leg bitten,N,unknown,unknown,not declared,1983,unknown
Unprovoked,VANUATU,Malampa Province,Ran into the water,M,"FATAL, arm/shoulder severed ",Y,unknown,unknown,not declared,1983,unknown
Provoked,USA,North & South Carolina,Fishing,M,Bitten on their feet by landed sharks / lacerations only PROVOKED INCIDENTS,N,unknown,Blue sharks,not declared,1983,unknown
Unprovoked,USA,South Carolina,In waist-deep water,M,Arm bitten,N,unknown,unknown,not declared,1982,unknown
Unprovoked,USA,Florida,Windsurfing,M,Left foot lacerated,N,11h00,1.5 m [5'] shark,26,1982,October
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,"No injury, pressure ding on surfboard",N,16h00,unknown,16,1982,September
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,"No Injury, surfboard bitten",N,14h50,"Believed to involve a 2.8 m [9'3""] white shark",16,1982,September
Unprovoked,USA,Florida,Surfing,M,Laceration to lower left leg,N,13h30,1.5 m [5'] shark,20,1982,September
Unprovoked,USA,California,Diving,M,Lacerations to hand,N,Morning,White shark,36,1982,September
Unprovoked,USA,California,Free diving for abalone from Zodiac (submerged),M,Upper left thigh & buttocks bitten,N,14h30,5 m to 6 m [16.5' to 20'] white shark,28,1982,September
Invalid,USA,Florida,unknown,M,"Remains recovered from 2.7 m tiger shark, but shark involvement prior to death unknown",unknown,unknown,Shark involvement prior to death was not confirmed,not declared,1982,September
Unprovoked,JAPAN,Kumamoto Prefecture,unknown,M,FATAL,Y,unknown,unknown,not declared,1982,August
Invalid,USA,California,Surfing,M,"No Injury, board bitten",unknown,10h20,Questionable incident; reported as shark attack but thought to involve a pinniped instead ,17,1982,August
Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,F,"Left knee, lower leg & foot bitten",N,12h00,unknown,18,1982,August
Unprovoked,TUNISIA,unknown,Windsurfing,M,Thigh lacerated,N,unknown,"2.1 m [7'] shark, possibly a spinner shark",not declared,1982,unknown
Invalid,SOUTH AFRICA,KwaZulu-Natal,Boogie boarding,M,"No injury, swim fin bitten",unknown,16h00,Invalid,20,1982,July
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Paddleskiing,M,"No injury, ski bitten",N,16h00,"2.4 m [8'] white shark, species identity confirmed by tooth fragment",38,1982,July
Unprovoked,USA,California,Paddle Boarding,M,"No Injury, board bitten",N,11h00,4.5 m to 5.5 m [14.7' to 18'] white shark,26,1982,July
Unprovoked,USA,Florida,Swimming,M,Left ankle bitten,N,Late afternoon,0.9 m to 1.2 m [3' to 4'] shark,17,1982,July
Invalid,USA,California,Swimming,M,Laceration to left thigh,unknown,unknown,"Reported as a shark attack, the story was a hoax",43,1982,July
Unprovoked,USA,Florida,Swimming,F,Laceration to left leg,N,14h30,unknown,19,1982,July
Unprovoked,NEW CALEDONIA,South Province,unknown,not declared,Left arm bitten,N,unknown,unknown,not declared,1982,unknown
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,FATAL,Y,09h30,"2.4 m [8'] white shark, species identity confirmed by witnesses & tooth pattern in surfboard",27,1982,June
Unprovoked,USA,South Carolina,Swimming,M,Left arm bitten,N,16h30,5' shark,20,1982,June
Unprovoked,BAHAMAS,Andros Islands,Spearfishing ,M,Arm severed at elbow,N,unknown,"Lemon shark, 2 m [6'9""]",19,1982,June
Unprovoked,USA,Florida,unknown,F,Foot bitten,N,11h00,unknown,8,1982,June
Unprovoked,USA,Hawaii,"Sailboarding, fell into water 100 yards outside the breakwater",M,Thigh bitten 3 times,N,unknown,"1.2 m to 1.5 m [4' to 5'] ""reef shark""",not declared,1982,June
Invalid,USA,South Carolina,unknown,F,Human remains recovered from tiger shark,unknown,unknown,Shark involvement prior to death was not confirmed,not declared,1982,unknown
Unprovoked,USA,Florida,Surfing,M,Elbow bitten,N,14h00,unknown,16,1982,March
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Legs bitten  FATAL,Y,12h00,unknown,20,1982,March
Unprovoked,NEW CALEDONIA,unknown,Spearfishing,M,Arm bitten,N,unknown,unknown,not declared,1982,unknown
Unprovoked,AUSTRALIA,Tasmania,Spearfishing,M,"FATAL, body not recovered",Y,unknown,5.5 m [18''] white shark,32,1982,February
Unprovoked,USA,Florida,Surfing,M,Lacerations to left hand and forearm,N,unknown,4' to 5' shark,18,1982,February
Provoked,SOUTH AFRICA,Western Cape Province,Fishing,M,Leg bitten above ankle by hooked shark taken aboard skiboat PROVOKED INCIDENT,N,unknown,unknown,not declared,1982,February
Unprovoked,USA,Hawaii,Wading,F,Left leg bitten,N,unknown,unknown,not declared,1982,February
Unprovoked,USA,Hawaii,Swimming,F,Right foot bitten,N,unknown,unknown,not declared,1982,February
Unprovoked,USA,Florida,Swimming,F,Shark-bitten body found floating 1.5 miles offshore. Bruises suggested she may have been bitten by the shark before drowning,Y,Prior to 10h37,unknown,75,1982,February
Unprovoked,USA,California,Scuba diving (submerged),M,Calf & ankle bitten,N,11h00,5 m [16.5'] white shark,not declared,1982,February
Unprovoked,USA,Florida,Diving,M,"FATAL Disappeared while diving, bathing suit & diving gear recovered bore marks of shark's teeth",Y,unknown,unknown,29,1982,February
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,Right shin & toe lacerated,N,16h30,Raggedtooth shark,20,1982,January
Boat,ITALY,Tyrrhenian Sea,Boat,M,No details,unknown,unknown,6 m [20'] white shark,not declared,1982,unknown
Boat,ITALY,Tyrrhenian Sea,Fishing on a boat,M,No injury,N,unknown,White shark,not declared,1982,unknown
Unprovoked,TUNISIA,Biserta,Spearfishing,not declared,No details,unknown,unknown,unknown,not declared,1982,unknown
Unprovoked,USA,California,Surfing,M,"FATAL, torso bitten ",Y,Evening,7 m [23'] white shark,24,1981,December
Unprovoked,AUSTRALIA,Queensland,unknown,not declared,Abdomen lacerated,N,unknown,unknown,not declared,1981,December
Unprovoked,USA,Hawaii,"Spearfishing, but swimming on surface",M,Right leg severely bitten,N,unknown,"Tiger shark, 3.7 m [12']",not declared,1981,December
Unprovoked,REUNION,Saint-Philippe,Spearfishing,M,Survived,N,Late afternoon,unknown,not declared,1981,November
Provoked,SOUTH AFRICA,Western Cape Province,Inspecting teeth of supposedly dead (hooked & shot) shark,M,Hand lacerated  PROVOKED INCIDENT,N,unknown,"3.5 m [11.5'], 510-kg [1125-lb] hooked & shot white shark",not declared,1981,October
Unprovoked,USA,Hawaii,Diving to untangle a crab trap line from boat's propeller,M,Hand bitten,N,unknown,"2.1 m [7'] shark with ""a very flat head that had followed the boat for 3 days",59,1981,November
Unprovoked,USA,Florida,Swimming,M,Hand & forearm bitten,N,11h30,1.8 m to 2.4 m [6' to 8'] shark,19,1981,October
Unprovoked,USA,Florida,Surfing,M,No details,unknown,09h45,unknown,not declared,1981,October
Unprovoked,USA,Florida,Surfing,M,Puncture wounds to left foot,N,unknown,unknown,17,1981,October
Unprovoked,USA,Florida,Surfing,M,Laceration to right leg,N,unknown,6' shark,24,1981,October
Unprovoked,USA,Florida,Surfing,M,5 puncture marks to hip,N,18h00,unknown,28,1981,September
Unprovoked,USA,Florida,Surfing,M,Lacerations to right hand,N,unknown,unknown,not declared,1981,September
Unprovoked,USA,Florida,Swimming,M,"FATAL, right calf bitten  ",Y,P.M.,Said to involve a tiger shark or a hammerhead shark,26,1981,September
Unprovoked,USA,Florida,Surfing,M,Lacerations to 2 fingers of left hand,N,12h00,unknown,25,1981,September
Unprovoked,USA,Florida,Surfing,M,Laceration to foot,N,Morning,unknown,24,1981,September
Unprovoked,USA,Florida,Surfing,M,Laceration to left ankle,N,unknown,6' shark,15,1981,August
Provoked,USA,Florida,Spearfishing,M,"Shot shark, then it bit him. Puncture wounds on leg  PROVOKED INCIDENT",N,unknown,"1.8 m [6'] shark, species identity questionable",19,1981,August
Invalid,USA,Hawaii,Fishing,M,Disappeared while fishing from shore. Leg found 7 days later wedged in rocks 150 yards offshore,unknown,unknown,Shark involvement prior to death remains unconfirmed,not declared,1981,August
Unprovoked,USA,Florida,Diving,M,Bite to face,N,unknown,small nurse shark,not declared,1981,August
Unprovoked,USA,Florida,"16' catamaran capsized previous night, occupants stayed with wreckage until morning, then attempted to swim ashore",F,FATAL,Y,Daybreak,unknown,19,1981,August
Unprovoked,BAHAMAS,Grand Bahama Island,Snorkeling on surface,M,Upper right arm bitten,N,12h00,Mako shark (tooth fragments recovered),53,1981,August
Unprovoked,USA,Florida,Swimming,F,"Foot bitten between arch & big toe, no stitches required",N,unknown,"""sandshark""",16,1981,July
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,7 lacerations to right foot,N,10h15,Possibly a  1.8 m [6'] Zambezi shark,32,1981,July
Unprovoked,USA,Florida,Spearfishing,M,Left foot & ankle lacerated,N,18h10,2.4 m [8'] shark,not declared,1981,July
Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Catching sardines,M,Laceration to calf,N,unknown,"""gray shark""",not declared,1981,July
Boat,ENGLAND,unknown,Fishing,M,Minor injuries from shark that leapt aboard their boat,N,unknown,"13', 400-lb thresher shark",not declared,1981,June
Invalid,USA,Hawaii,unknown,M,"Probable drowning, 1.2 m [4'] shark hindered recovery of body",unknown,unknown,Shark involvement prior to death was not confirmed,not declared,1981,June
Unprovoked,USA,Hawaii,"Scuba diving, reportedly also spearfishing",M,"FATAL, disappeared, dive gear & shredded tooth-marked wetsuit were recovered",Y,unknown,unknown,not declared,1981,May
Unprovoked,SOUTH KOREA,Chungnam,Shell diving,F,FATAL,Y,12h30,6 m  white shark,27,1981,May
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,"Shark & board collided. No injury, but board was dented",N,08h30,Raggedtooth shark,27,1981,May
Unprovoked,USA,Florida,Free diving,M,Massive tissue damage of left arm,N,unknown,unknown,32,1981,May
Unprovoked,USA,Florida,Diving,M,Left arm bitten,N,unknown,Lemon shark,not declared,1981,May
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,"No Injury, board bitten",N,14h45,"Raggedtooth shark, 2.5 m [8.25'] ",19,1981,May
Provoked,NAMIBIA,Eronogo Region,Finning the shark that bit him,M,Lacerations PROVOKED INCIDENT,N,unknown,unknown,not declared,1981,May
Sea Disaster,BERMUDA,unknown,Foundering of the Israeli freighter Mezada,not declared,Next day 2 bodies recovered from sharks,N,unknown,unknown,not declared,1981,March
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,"Left leg bitten, surgically amputated",N,09h00,"Tiger shark, 2.1 m [7']",24,1981,May
Unprovoked,USA,Florida,Standing / Wading,M,"Lacerations on calf, ankle & heel",N,15h00,"1.2 m to 1.5 m [4' to 5'] bull, sandbar or dusky shark",19,1981,March
Unprovoked,USA,Florida,Surfing,M,Puncture wounds on  right thigh,N,17h30,C. maculpinnis or C. limbatus,24,1981,March
Unprovoked,CHILE,Coquimbo,Free diving Spearfishing,M,Foot & ankle bitten,N,10h30,White shark,not declared,1981,March
Unprovoked,BRAZIL,Rio de Janeiro,Diving,not declared,unknown,unknown,unknown,White shark,not declared,1981,unknown
Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,Foot lacerated,N,17h20,Juvenile dusky or blacktip shark,30,1981,February
Unprovoked,AUSTRALIA,Western Australia,Exercising his dog in the shallows,M,Puncture wounds to foot,N,unknown,1 m hammerhead shark,not declared,1981,February
Unprovoked,AUSTRALIA,Western Australia,unknown,not declared,No details,unknown,unknown,unknown,not declared,1981,February
Unprovoked,USA,Florida,Surfing,M,Lacerations & punctures in left calf & ankle,N,13h30,1.8 m to 2.4 m [6' to 8'] hammerhead shark,15,1981,February
Unprovoked,BRAZIL,Rio de Janeiro,Spearfishing,not declared,Left arm lacerated,N,unknown,unknown,not declared,1981,unknown
Unprovoked,USA,Florida,Commercial spearfishing,M,3 small punctures in scalp & ripped nostril,N,unknown,Tiger shark,25,1981,January
Invalid,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,Probable drowning & scavenging by 1.5 m tiger shark,unknown,unknown,Shark involvement prior to death was not confirmed,23,1981,January
Unprovoked,AUSTRALIA,New South Wales,Surf-skiing,M,"No injury, ski bitten",N,07h00,"Tiger shark, 2.5 m ",27,1981,unknown
Unprovoked,GREECE,Pagasitikos Gulf,"Free diving / spearfishing, ",M,Minor injury,N,unknown,unknown,not declared,1981,unknown
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Paddleskiing,M,"No injury, paddleski bitten",N,17h15,3.5 m [11.5'] shark,25,1980,unknown
Invalid,SOUTH AFRICA,Eastern Cape Province,unknown,not declared,Probable drowning & scavenging,unknown,unknown,Shark involvement prior to death was not confirmed,not declared,1980,December
Unprovoked,REUNION,Grand'Anse,Spearfishing,M,Bitten twice,N,15h00,1.8 m [6'] white shark,22,1980,November
Unprovoked,AUSTRALIA,Western Australia,Swimming,M,"Right shoulder bitten, puncture wounds on chest & lacerations on his back",N,unknown,unknown,not declared,1980,November
Invalid,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,Probable  drowning & scavenging,unknown,unknown,Shark involvement prior to death was not confirmed,not declared,1980,November
Unprovoked,BRAZIL,Pernambuco,Swimming,M,FATAL,Y,unknown,unknown,16,1980,November
Unprovoked,USA,Oregon,Surfing,M,Thigh lacerated,N,15h45,4 m to 5 m [13' to 16.5'] white shark,29,1980,October
Unprovoked,USA,California,Surfing,M,No injury,N,09h30,4 m to 5 m [13' to 16.5'] white shark,19,1980,October
Unprovoked,MEXICO,unknown,Diving in tuna net,M,FATAL,Y,unknown,unknown,22,1980,August
Unprovoked,USA,North Carolina,Wading,F,Bitten behind knee & lower leg,N,unknown,unknown,10,1980,August
Unprovoked,USA,Hawaii,Resting on body board,M,Torso bitten,N,unknown,"Tiger shark, 4.3 m [14'] ",not declared,1980,August
Unprovoked,SPAIN,Canary Islands,Skin diving,M,Thigh injured,N,unknown,Blue shark,not declared,1980,July
Unprovoked,USA,New Jersey,Body surfing,M,Back bitten,N,15h00,unknown,15,1980,July
Unprovoked,USA,Delaware,Standing,F,"No injury, shark bit her bathing suit",N,Afternoon,4' to 8' shark,22,1980,July
Unprovoked,USA,North Carolina,Surfing,M,"No injury, bumped off board",N,unknown,unknown,not declared,1980,unknown
Unprovoked,USA,Florida,Surfing,M,Lower leg bitten,N,unknown,unknown,not declared,1980,unknown
Provoked,USA,California,Scuba diving,F,Laceration to lower leg   PROVOKED INCIDENT,N,unknown,Blue shark,44,1980,June
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,"No injury, board bitten",N,08h00,1.8 m [6'] shark,22,1980,May
Provoked,JAMAICA,St. Mary's Parish,Spearfishing,M,Hand bitten by speared shark PROVOKED INCIDENT ,N,unknown,unknown,not declared,1980,April
Sea Disaster,PHILIPPINES,Romblon Province,Sinking of the ferryboat Don Juan,not declared,FATAL x 2,Y,Night,unknown,not declared,1980,April
Unprovoked,MEXICO,Sinaloa,Body surfing,F,Right calf bitten,N,Early afternoon,Tiger shark,13,1980,unknown
Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Free diving,M,FATAL,Y,unknown,Tiger shark,52,1980,March
Unprovoked,BRAZIL,Rio de Janeiro,Swimming,M,Right leg bitten,N,Afternoon,2 m shark,not declared,1980,March
Sea Disaster,PHILIPPINES,unknown,Sinking of the ferryboat Bongbong 1,F,FATAL,Y,unknown,unknown,not declared,1980,March
Provoked,SOUTH AFRICA,Western Cape Province,Fishing,M,Leg lacerated by netted shark PROVOKED INCIDENT,N,unknown,1.5 m [5'] hammerhead shark,61,1980,March
Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Body boarding,M,"Both hands & heel of left foot lacerated, right foot severed",N,14h45,"2.8 m [9'3""] white shark",24,1980,January
Unprovoked,KENYA,Lamu Archipelago,Spearfishing,M,Ankle & foot lacerated,N,unknown,2.2 m shark,29,1980,January
Provoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,"No injury, rammed & catapulted from the water by shark after he shot at it & missed PROVOKED INCIDENT",N,05h00,"2 m [6'9""] Zambesi shark",29,1980,January
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,Abrasion,N,unknown,Hammerhead shark,not declared,1980,January
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,3 small punctures on arm,N,18h30,"Raggedtooth shark, 2 m [6'9""] ",25,1980,January
Unprovoked,CHILE,Los Vilos,Hookah Diving,M,FATAL  ,Y,11h00,White shark,not declared,1980,January
Provoked,NORTH ATLANTIC OCEAN,unknown,Gaffing netted shark,M,Arm lacerated by gaffed shark PROVOKED INCIDENT,N,unknown,1.8 m [6'] dogfish,34,1980,unknown
Invalid,GREECE,Island of Kos,Surfing,M,Knee bitten,unknown,unknown,Said to involve a white shark but shark involvement not confirmed,not declared,1980,unknown
Invalid,SOUTH AFRICA,Eastern Cape Province,Spearfishing,M,No injury; 2 m shark made threat display and impaled itself on spear,unknown,Early afternoon,Invalid,20,1980,unknown
Unprovoked,TONGA,Ha'api,Spearfishing,M,Chest bitten,N,AM,unknown,20,1980,unknown
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,Shin lacerated,N,16h20,unknown,18,1979,December
Invalid,PORTUGAL,Madeira Islands,Spearfishing,M,FATAL,Y,unknown,White shark?,19,1979,December
Unprovoked,SOUTH CHINA SEA,unknown,Diving,M,Toothmarks on head & neck,N,unknown,6' shark,32,1979,December
Unprovoked,USA,Oregon,Surfing,M,Multiple major Injuries,N,10h20,"White shark, 4 m [13'] ",20,1979,November
Provoked,SOUTH AFRICA,Western Cape Province,Shark fishing,not declared,"No injury to occupants; hooked shark tore out part of transom, bit skeg of motor and snapped the steel trace PROVOKED INCIDENT",N,unknown,"White shark, 5 m ",not declared,1979,November
Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing,M,Bitten below right knee by hooked shark pulled onboard skiboat PROVOKED INCIDENT,N,unknown,"Raggedtooth shark, 50-kg [110-lb], 2 m [6.75'] gaffed ",not declared,1979,October
Unprovoked,AUSTRALIA,New South Wales,Scuba diving,M,Leg bitten,N,unknown,"""a small shark""",18,1979,September
Unprovoked,HONG KONG,unknown,Freedom swimming,M,"Leg severed, FATAL",Y,unknown,unknown,21,1979,August
Unprovoked,HONG KONG,Ho Ha Wan Marine Park,unknown,M,FATAL,Y,unknown,unknown,16,1979,August
Unprovoked,USA,Florida,Kayaking,M,Lacerations to foot,N,unknown,unknown,49,1979,August
Unprovoked,THAILAND,Southern Thailand,Murdered by Thai pirates,M,FATAL,Y,unknown,unknown,not declared,1979,August
Sea Disaster,USA,Florida,Floating with life preserver after his boat foundered,M,Lacerations to leg,N,Morning,unknown,56,1979,June
Invalid,USA,Florida,Scuba diving,M,"FATAL, but shark involvement prior to death was not determined",unknown,unknown,Shark involvement prior to death was not confirmed,36,1979,May
Provoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,Shark rammed diver after he shot it in the head  PROVOKED INCIDENT,N,14h00,"White shark, 2.5 m [8.25']  ",25,1979,unknown
Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba diving,M,"FATAL (presumed), pieces of shark-bitten wetsuit washed ashore but no body was recovered",Y,>12h00,unknown,not declared,1979,May
Unprovoked,NEW CALEDONIA,North Province,Fishing,not declared,"Thigh severely injured, survived",N,unknown,unknown,not declared,1979,unknown
Unprovoked,NEW CALEDONIA,North Province,unknown,M,FATAL,Y,unknown,2 m shark,not declared,1979,unknown
Unprovoked,USA,Florida,Swimming,M,Right foot & ankle lacerated,N,13h20,unknown,24,1979,April
Unprovoked,USA,Florida,Body surfing,M,Right foot bitten,N,10h30,unknown,8,1979,April
Unprovoked,USA,Florida,Surfing,M,Foot & ankle bitten,N,11h30,Blacktip or spinner shark,27,1979,March
Unprovoked,USA,California,Scuba diving (submerged),M,"No injury, swim fin bitten",N,10h00,"White shark, 4 m to 5 m [13' to 16.5'] ",not declared,1979,March
Boat,SOUTH AFRICA,Western Cape Province,unknown,not declared,No Injury,N,unknown,unknown,not declared,1979,March
Unprovoked,NEW CALEDONIA,Grand Terre,Spearfishing,M,"Presumed FATAL, body not recovered",Y,unknown,unknown,not declared,1979,unknown
Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Surfing, collided with shark",M,Punctures on left thigh,N,13h15,1.5 m to 2 m [5' to 6.75'] shark,19,1979,February
Unprovoked,USA,Hawaii,Fishing,M,"FATAL, disappeared while fishing from shore, divers recovered his hand",Y,unknown,unknown,not declared,1979,unknown
Unprovoked,AUSTRALIA,Queensland,unknown,M,Survived,N,unknown,unknown,not declared,1978,December
Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,"FATAL, legs bitten ",Y,16h45,"White shark, 2.3 m [7.5'], tooth fragment recovered",23,1978,December
Unprovoked,USA,Hawaii,Surfing,M,Left arm bitten,N,unknown,2.4 m [8'] shark,not declared,1978,November
Unprovoked,USA,Florida,Surfing,M,Hand lacerated,N,unknown,unknown,17,1978,November
Invalid,SOUTH AFRICA,KwaZulu-Natal,Fishing,M,FATAL or scavenging by 3 m tiger shark (may have involved foul play),unknown,Dusk,Shark involvement prior to death was not confirmed,not declared,1978,October
Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,"No injury, shark took his catch, then towed & pushed diver through the water ",N,16h00,"White shark, 3.7 m [12'] ",27,1978,September
Unprovoked,ITALY,Tyrrhenian Sea,Diving,M,No injury,N,11h00,"White shark, 5 m [16.5'] ",not declared,1978,September
Unprovoked,AUSTRALIA,Tasmania,Scuba diving for abalone,M,Several broken ribs,N,unknown,15' shark,34,1978,September
Unprovoked,USA,California,Wading,M,Punctures on leg (minor injury),N,12h45,"2 m [6'9""] shark",not declared,1978,August
Unprovoked,USA,Florida,Floating on inner tube raft,M,Minor injury to ankle,N,unknown,unknown,27,1978,August
Sea Disaster,USA,South Carolina,"Explosion destroyed 28' boat, survivors in the water ",M,"No injury, his foot was bumped by a shark biting the body of a passenger that had drowned.",N,unknown,unknown,39,1978,July
Provoked,USA,California,Fishing,M,Laceration to leg by hooked shark  PROVOKED INCIDENT,N,unknown,unknown,27,1978,July
Unprovoked,USA,Florida,Surfing,M,Foot bitten,N,unknown,unknown,20,1978,June
Unprovoked,USA,Florida,Surfing,M,Foot nipped,N,unknown,unknown,17,1978,June
Invalid,ITALY,Golfo de Venezia,unknown,not declared,"No injury, white shark struck platform",unknown,unknown,Invalid,not declared,1978,June
Unprovoked,MARSHALL ISLANDS,Ralik Archipelago,Diving,M,Laceration to left hand,N,unknown,unknown,25,1978,April
Unprovoked,MARSHALL ISLANDS,Ralik Archipelago,Diving,M,Lacerations to right forearm ,N,unknown,unknown,23,1978,April
Unprovoked,AUSTRALIA,Tasmania,Scuba diving,M,Thigh bitten,N,unknown,"Sevengill shark, 2.4 m",not declared,1978,unknown
